origin, destination, date, miles, dollars, error
ORD, hnl, 02-15-2023, 47.1k miles, $5.60
ORD, hnl, 02-16-2023, 47.1k miles, $5.60
ORD, hnl, 02-17-2023, 47.1k miles, $5.60
ORD, hnl, 02-18-2023, 47.1k miles, $5.60
ORD, hnl, 02-19-2023, 24.2k miles, $5.60
ORD, hnl, 02-20-2023, 24.2k miles, $5.60
ORD, hnl, 02-21-2023, 24.2k miles, $5.60
ORD, hnl, 02-22-2023, 24.2k miles, $5.60
ORD, hnl, 02-23-2023, 24.2k miles, $5.60
ORD, hnl, 02-24-2023, 24.2k miles, $5.60
ORD, hnl, 02-25-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 02-26-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 02-27-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 02-28-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-01-2023, 22.5k miles, $5.60Lowestpriceselected
ORD, hnl, 03-02-2023, 43.9k miles, $5.60
ORD, hnl, 03-03-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-04-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-05-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-06-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-07-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-08-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-09-2023, 45k miles, $5.60
ORD, hnl, 03-10-2023, 45k miles, $5.60
ORD, hnl, 03-11-2023, 43.5k miles, $5.60
ORD, hnl, 03-12-2023, 45k miles, $5.60
ORD, hnl, 03-13-2023, 24.8k miles, $5.60
ORD, hnl, 03-14-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-15-2023, 22.5k miles, $5.60Lowestprice
ORD, hnl, 03-16-2023, 43.8k miles, $5.60
ORD, slc, 02-15-2023, 34.6k miles, $5.60
ORD, slc, 02-16-2023, 34.6k miles, $11.20
ORD, slc, 02-17-2023, 34.6k miles, $5.60
ORD, slc, 02-18-2023, 33.5k miles, $5.60
ORD, slc, 02-19-2023, 24.6k miles, $5.60
ORD, slc, 02-20-2023, 24.6k miles, $5.60
ORD, slc, 02-21-2023, 22.2k miles, $11.20
ORD, slc, 02-22-2023, 30.4k miles, $5.60
ORD, slc, 02-23-2023, 34.4k miles, $5.60
ORD, slc, 02-24-2023, 25.9k miles, $11.20
ORD, slc, 02-25-2023, 16.7k miles, $11.20
ORD, slc, 02-26-2023, 15k miles, $5.60Lowestprice
ORD, slc, 02-27-2023, 15k miles, $5.60Lowestprice
ORD, slc, 02-28-2023, 15k miles, $5.60Lowestprice
ORD, slc, 03-01-2023, 25.3k miles, $11.20selected
ORD, slc, 03-02-2023, 32.5k miles, $5.60
ORD, slc, 03-03-2023, 26.4k miles, $5.60
ORD, slc, 03-04-2023, 15k miles, $11.20
ORD, slc, 03-05-2023, 19.5k miles, $5.60
ORD, slc, 03-06-2023, 19.9k miles, $5.60
ORD, slc, 03-07-2023, 15k miles, $5.60Lowestprice
ORD, slc, 03-08-2023, 25.4k miles, $5.60
ORD, slc, 03-09-2023, 32.5k miles, $5.60
ORD, slc, 03-10-2023, 32.5k miles, $5.60
ORD, slc, 03-11-2023, 32.5k miles, $5.60
ORD, slc, 03-12-2023, 24.7k miles, $5.60
ORD, slc, 03-13-2023, 22.7k miles, $5.60
ORD, slc, 03-14-2023, 17.2k miles, $5.60
ORD, slc, 03-15-2023, 20.3k miles, $5.60
ORD, slc, 03-16-2023, 28.6k miles, $5.60
ORD, dfw, 02-15-2023, 9.3k miles, $5.60
